mass	limit	-2sigma	-1sigma	median	1sigma	2sigma	-nucl.unc.	+nucl.unc.	median_3sigma_disco		
9	3.57E-40	2.09E-40	3.62E-40	8.25E-40	1.51E-39	2.22E-39	1.03E-38	3.30E-40	1.61E-39		
11	1.08E-40	5.82E-41	1.10E-40	2.52E-40	4.42E-40	6.35E-40	2.40E-39	9.56E-41	4.87E-40		
13	4.89E-41	2.58E-41	4.98E-41	1.16E-40	2.12E-40	3.02E-40	9.66E-40	4.01E-41	2.38E-40		
16	2.61E-41	1.35E-41	2.67E-41	6.12E-41	1.07E-40	1.60E-40	4.20E-40	2.08E-41	1.23E-40		
17	2.26E-41	1.17E-41	2.34E-41	5.25E-41	9.27E-41	1.36E-40	3.32E-40	1.79E-41	1.06E-40		
19	1.79E-41	9.11E-42	1.82E-41	4.12E-41	7.36E-41	1.09E-40	2.59E-40	1.38E-41	8.40E-41		
21	1.51E-41	7.17E-42	1.53E-41	3.44E-41	6.20E-41	9.06E-41	1.96E-40	1.10E-41	7.19E-41		
23	1.30E-41	6.05E-42	1.33E-41	3.13E-41	5.65E-41	8.14E-41	1.57E-40	9.72E-42	6.40E-41		
26	1.20E-41	5.93E-42	1.21E-41	2.70E-41	4.87E-41	7.22E-41	1.27E-40	8.33E-42	5.68E-41		
29	1.06E-41	5.14E-42	1.09E-41	2.51E-41	4.54E-41	6.68E-41	1.12E-40	7.52E-42	5.27E-41		
32	1.02E-41	4.97E-42	1.06E-41	2.39E-41	4.32E-41	6.35E-41	1.01E-40	7.12E-42	5.03E-41		
36	9.82E-42	4.85E-42	1.01E-41	2.31E-41	4.13E-41	6.20E-41	9.04E-41	6.77E-42	4.88E-41		
40	9.82E-42	4.79E-42	1.00E-41	2.26E-41	4.19E-41	6.22E-41	8.81E-41	6.58E-42	4.87E-41		
43	9.92E-42	4.93E-42	1.01E-41	2.37E-41	4.18E-41	6.17E-41	8.57E-41	6.81E-42	4.88E-41		
46	1.03E-41	4.85E-42	1.05E-41	2.37E-41	4.24E-41	6.30E-41	8.56E-41	7.04E-42	4.93E-41		
65	1.17E-41	5.10E-42	1.18E-41	2.71E-41	4.78E-41	7.14E-41	1.33E-40	9.05E-42	5.63E-41		
91	1.46E-41	6.29E-42	1.44E-41	3.42E-41	5.94E-41	8.84E-41	1.93E-40	1.35E-41	6.87E-41		
129	2.18E-41	8.54E-42	1.96E-41	4.38E-41	7.83E-41	1.16E-40	2.79E-40	2.00E-41	9.05E-41		
182	3.21E-41	1.17E-41	2.61E-41	5.74E-41	1.04E-40	1.56E-40	3.85E-40	2.82E-41	1.21E-40		
256	4.44E-41	1.61E-41	3.50E-41	7.96E-41	1.42E-40	2.12E-40	5.40E-40	4.03E-41	1.65E-40		s
361	6.24E-41	2.19E-41	4.73E-41	1.13E-40	1.96E-40	2.92E-40	7.78E-40	5.58E-41	2.26E-40		
508	9.02E-41	3.12E-41	6.80E-41	1.53E-40	2.75E-40	4.06E-40	1.08E-39	8.20E-41	3.16E-40		
1008	1.78E-40	6.18E-41	1.32E-40	2.99E-40	5.39E-40	7.96E-40	2.13E-39	1.61E-40	6.20E-40		
2000	3.56E-40	1.21E-40	2.60E-40	5.87E-40	1.05E-39	1.58E-39	4.30E-39	3.24E-40	1.21E-39		
5000	8.58E-40	3.05E-40	6.64E-40	1.47E-39	2.62E-39	3.91E-39	1.07E-38	7.89E-40	3.03E-39		
10000	1.76E-39	6.04E-40	1.30E-39	2.92E-39	5.24E-39	7.77E-39	2.10E-38	1.59E-39	6.07E-39		
