mass	limit	-2sigma	-1sigma	median	1sigma	2sigma	-nucl.unc	+nucl.unc	median_3sigma_disco
9	1.16E-41	7.10E-42	1.16E-41	2.71E-41	4.93E-41	7.26E-41	3.75E-41	1.03E-41	5.28E-41
11	3.60E-42	2.00E-42	3.62E-42	8.28E-42	1.44E-41	2.15E-41	1.03E-41	2.89E-42	1.63E-41
13	1.65E-42	9.43E-43	1.69E-42	4.01E-42	7.12E-42	1.05E-41	4.81E-42	1.28E-42	7.96E-42
16	8.66E-43	4.80E-43	8.82E-43	2.11E-42	3.78E-42	5.65E-42	2.46E-42	6.82E-43	4.25E-42
17	7.57E-43	4.14E-43	7.77E-43	1.81E-42	3.24E-42	4.83E-42	1.97E-42	5.54E-43	3.71E-42
19	6.20E-43	3.21E-43	6.28E-43	1.44E-42	2.58E-42	3.83E-42	1.66E-42	4.40E-43	2.96E-42
21	5.26E-43	2.77E-43	5.36E-43	1.23E-42	2.22E-42	3.34E-42	1.40E-42	3.67E-43	2.56E-42
23	4.77E-43	2.28E-43	4.89E-43	1.10E-42	1.93E-42	2.95E-42	1.17E-42	3.28E-43	2.26E-42
26	4.04E-43	2.11E-43	4.11E-43	9.74E-43	1.76E-42	2.66E-42	1.06E-42	2.78E-43	2.02E-42
29	3.97E-43	1.87E-43	4.03E-43	9.19E-43	1.66E-42	2.48E-42	9.60E-43	2.79E-43	1.91E-42
32	3.88E-43	1.83E-43	3.94E-43	8.92E-43	1.60E-42	2.37E-42	9.13E-43	2.58E-43	1.84E-42
36	3.73E-43	1.79E-43	3.82E-43	8.68E-43	1.54E-42	2.32E-42	8.93E-43	2.44E-43	1.79E-42
40	3.75E-43	1.74E-43	3.84E-43	8.48E-43	1.56E-42	2.34E-42	9.16E-43	2.52E-43	1.81E-42
43	3.78E-43	1.73E-43	3.84E-43	8.62E-43	1.58E-42	2.35E-42	9.42E-43	2.51E-43	1.83E-42
46	3.68E-43	1.69E-43	3.77E-43	9.00E-43	1.61E-42	2.41E-42	9.50E-43	2.55E-43	1.86E-42
65	4.54E-43	2.13E-43	4.65E-43	1.04E-42	1.88E-42	2.78E-42	1.15E-42	3.03E-43	2.17E-42
91	5.62E-43	2.49E-43	5.73E-43	1.29E-42	2.31E-42	3.49E-42	1.41E-42	3.82E-43	2.71E-42
129	7.49E-43	3.41E-43	7.59E-43	1.72E-42	3.07E-42	4.63E-42	1.84E-42	5.02E-43	3.60E-42
182	1.00E-42	4.59E-43	1.02E-42	2.28E-42	4.12E-42	6.19E-42	2.49E-42	6.60E-43	4.85E-42
256	1.39E-42	6.24E-43	1.41E-42	3.22E-42	5.76E-42	8.62E-42	3.41E-42	9.28E-43	6.58E-42
361	1.94E-42	8.71E-43	1.99E-42	4.40E-42	7.77E-42	1.20E-41	4.65E-42	1.27E-42	9.19E-42
508	2.64E-42	1.23E-42	2.69E-42	6.17E-42	1.10E-41	1.64E-41	6.52E-42	1.75E-42	1.27E-41
1008	5.07E-42	2.38E-42	5.16E-42	1.19E-41	2.16E-41	3.20E-41	1.28E-41	3.47E-42	2.50E-41
2000	1.02E-41	4.75E-42	1.04E-41	2.34E-41	4.27E-41	6.50E-41	2.57E-41	6.84E-42	4.88E-41
5000	2.51E-41	1.23E-41	2.58E-41	5.88E-41	1.08E-40	1.60E-40	6.60E-41	1.70E-41	1.22E-40
10000	5.28E-41	2.25E-41	5.32E-41	1.21E-40	2.10E-40	3.19E-40	1.36E-40	3.36E-41	2.45E-40
